date,time,1,2,3,4,5,6,7,8,9,10,11,label
2020-12-12,12:13,0,11,0,0,0,0,0,0,0,0,0,0
2020-12-12,12:15,0,1,0,0,0,0,0,0,0,0,0,0
2020-12-12,12:17,0,0,4,0,0,0,0,0,17,0,0,0
2020-12-12,13:33,0,0,0,0,0,0,0,1,0,0,0,0
2020-12-12,13:35,0,0,0,0,0,0,0,0,9,0,0,0
2020-12-12,13:38,0,0,0,0,0,0,0,0,16,0,0,0
2020-12-12,13:39,0,1,0,0,8,0,0,0,0,0,0,0
2020-12-12,13:40,0,9,0,0,0,0,0,0,0,0,8,0
2020-12-12,13:42,0,1,0,0,0,0,0,0,0,0,6,0
2020-12-12,13:43,0,0,0,0,0,0,0,0,0,0,2,0
2020-12-12,13:46,0,0,0,0,0,0,0,2,0,0,0,0
2020-12-12,13:58,0,0,0,0,0,0,0,0,0,1,0,0
2020-12-12,13:59,0,0,3,0,0,0,0,0,0,0,0,0
2020-12-12,15:00,0,0,4,0,2,0,0,0,0,0,0,0
2020-12-12,15:01,0,0,0,0,6,0,0,2,0,0,0,0
2020-12-12,15:02,0,0,0,0,0,0,0,7,0,0,0,0
2020-12-12,15:05,0,0,0,0,0,0,0,8,0,0,0,0
2020-12-12,15:17,0,0,1,0,0,0,0,0,0,0,0,0
2020-12-12,15:29,0,13,0,0,10,0,0,0,0,0,0,0
2020-12-12,15:30,0,0,0,0,8,0,0,0,0,0,0,0
2020-12-12,15:31,0,0,0,0,9,0,0,0,0,0,0,0
2020-12-12,15:33,0,0,0,0,8,0,0,0,0,0,0,0
2020-12-12,15:34,0,0,0,0,11,0,0,0,0,0,0,0
2020-12-12,15:35,0,1,0,0,0,0,0,0,0,0,0,0
2020-12-12,15:36,0,0,0,0,18,0,0,0,0,0,0,0
2020-12-12,15:37,0,0,0,0,14,0,0,0,0,0,0,0
2020-12-12,15:38,0,2,0,0,10,0,0,0,0,0,0,0
2020-12-12,15:39,0,1,0,0,1,0,0,0,0,0,0,0
2020-12-12,15:40,0,0,0,0,12,0,0,0,0,0,0,0
2020-12-12,15:41,0,0,0,0,1,0,0,0,0,0,0,0
