date,time,1,2,3,4,5,6,7,8,9,10,11,label
2020-11-26,7:00,0,0,0,0,0,3,0,0,2,0,0,0
2020-11-26,7:01,0,0,3,0,0,0,0,0,0,0,0,0
2020-11-26,7:04,0,0,0,0,0,0,0,0,0,0,4,0
2020-11-26,7:06,0,0,0,0,0,0,0,0,11,0,0,0
2020-11-26,7:07,0,0,0,0,10,0,0,0,1,0,0,0
2020-11-26,7:08,0,0,0,0,0,0,0,9,0,0,0,0
2020-11-26,7:09,0,0,0,0,0,0,0,1,0,0,0,0
2020-11-26,7:15,0,0,0,0,0,0,0,1,0,0,0,0
2020-11-26,7:20,0,0,2,0,0,4,0,0,0,0,0,0
2020-11-26,7:21,0,0,4,0,0,3,0,0,0,0,0,0
2020-11-26,7:22,0,0,0,0,0,1,0,0,1,0,0,0
2020-11-26,7:23,0,0,0,0,0,5,0,0,7,0,0,0
2020-11-26,7:24,0,0,0,0,0,9,0,0,0,0,0,0
2020-11-26,7:25,0,0,0,0,6,10,0,0,10,0,0,0
2020-11-26,7:26,0,0,0,0,0,16,0,2,2,0,0,0
2020-11-26,7:28,0,0,0,0,3,3,0,7,4,0,0,0
2020-11-26,7:29,0,0,0,0,0,1,0,0,5,0,0,0
2020-11-26,7:31,0,0,0,0,4,0,0,0,0,0,0,0
2020-11-26,7:35,0,0,0,0,0,0,0,0,4,0,0,0
2020-11-26,7:39,0,0,0,0,0,0,0,0,1,0,0,0
2020-11-26,7:42,0,0,0,0,0,1,0,0,6,0,0,0
2020-11-26,7:46,0,0,0,0,0,0,0,0,2,0,0,0
2020-11-26,7:48,0,0,0,0,1,0,0,0,1,0,0,0
2020-11-26,7:49,0,0,0,0,4,0,0,0,5,0,0,0
2020-11-26,7:50,0,0,0,0,0,0,0,0,11,0,0,0
2020-11-26,7:51,0,0,0,0,0,0,0,0,0,6,0,0
2020-11-26,7:52,0,0,0,0,0,0,0,8,0,0,0,0
2020-11-26,7:55,0,0,0,0,0,0,0,11,0,0,0,0
2020-11-26,7:57,0,5,0,0,0,0,0,0,0,0,7,0
2020-11-26,7:59,0,0,0,0,0,0,0,1,0,1,1,0
2020-11-26,8:00,0,3,0,0,0,0,0,7,0,0,0,0
2020-11-26,8:01,0,1,0,0,0,0,0,0,0,0,0,0
2020-11-26,8:07,0,0,3,0,0,0,0,0,0,0,0,0
2020-11-26,8:08,0,0,3,0,5,0,0,0,0,0,0,0
2020-11-26,8:10,0,0,0,0,30,0,0,0,0,0,0,1
2020-11-26,8:11,0,0,0,0,12,0,0,0,0,0,0,0
2020-11-26,8:12,0,0,0,0,25,0,0,5,0,0,0,0
2020-11-26,8:13,0,0,0,0,15,0,0,0,0,0,0,0
2020-11-26,8:17,0,0,0,0,3,0,0,0,0,0,0,0
2020-11-26,8:18,0,0,0,0,3,0,0,0,0,0,0,0
2020-11-26,8:19,0,0,0,0,1,0,0,0,0,0,0,0
2020-11-26,8:21,0,0,0,0,1,0,0,0,0,0,0,0
2020-11-26,8:23,0,0,0,0,7,0,0,0,0,0,0,0
2020-11-26,8:24,0,0,6,0,2,0,0,0,0,0,0,0
