date,time,1,2,3,4,5,6,7,8,9,10,11,label
2020-12-06,7:01,0,0,0,0,0,0,0,4,0,0,0,0
2020-12-06,7:05,0,0,0,0,7,0,0,0,11,0,0,0
2020-12-06,7:06,0,0,4,0,0,0,0,0,25,0,0,0
2020-12-06,7:07,0,0,12,0,0,0,0,0,0,0,0,0
2020-12-06,7:10,0,0,0,0,0,0,0,7,0,0,0,0
2020-12-06,7:17,0,0,1,0,10,0,0,0,12,0,0,0
2020-12-06,7:23,0,0,0,0,0,0,0,5,9,0,0,0
2020-12-06,7:25,0,0,0,0,2,0,0,0,0,0,0,0
2020-12-06,7:26,0,0,0,0,7,0,0,0,0,0,0,0
2020-12-06,7:27,0,0,0,0,15,0,0,0,18,0,0,0
2020-12-06,7:28,0,0,4,0,5,0,0,10,10,0,0,0
2020-12-06,7:29,0,0,0,0,0,0,0,1,0,0,0,0
2020-12-06,7:30,0,0,0,0,0,0,0,0,6,0,0,0
2020-12-06,7:31,0,0,0,0,11,0,0,0,3,0,0,0
2020-12-06,7:32,0,0,0,0,3,0,0,0,12,0,0,0
2020-12-06,7:33,0,0,0,0,4,0,0,0,14,5,0,0
2020-12-06,7:34,0,7,0,0,9,0,0,8,3,1,2,0
2020-12-06,7:35,0,0,0,0,9,0,0,0,5,0,0,0
2020-12-06,7:36,0,9,0,0,0,0,0,0,12,0,0,0
2020-12-06,7:47,0,0,0,0,1,0,0,0,1,0,0,0
2020-12-06,8:06,0,0,0,0,0,0,0,0,0,1,0,0
2020-12-06,8:07,0,2,0,0,0,0,0,0,0,0,0,0
2020-12-06,8:08,0,6,0,0,0,0,0,0,0,17,3,0
2020-12-06,8:10,0,0,0,0,0,0,0,0,0,1,9,0
2020-12-06,8:11,0,0,0,0,0,0,0,0,0,5,5,0
2020-12-06,8:12,0,1,0,0,0,0,0,0,0,0,11,0
2020-12-06,8:13,0,0,0,0,0,0,0,0,0,0,8,0
2020-12-06,8:14,0,2,0,0,0,0,0,0,0,0,0,0
2020-12-06,8:16,0,0,0,0,0,0,0,0,0,9,5,0
2020-12-06,8:19,0,1,0,0,0,0,0,0,0,0,0,0
2020-12-06,8:21,0,3,0,0,0,0,0,0,0,0,1,0
2020-12-06,8:37,0,0,0,0,0,0,0,0,1,0,0,0
2020-12-06,8:45,0,0,0,0,0,0,0,0,1,0,0,0
2020-12-06,9:13,0,0,0,0,0,0,0,0,1,0,0,0
2020-12-06,9:19,0,0,0,0,1,0,0,0,0,0,0,0
2020-12-06,9:59,0,0,0,1,0,0,0,0,8,0,0,0
2020-12-06,11:54,0,0,0,0,10,0,0,0,0,0,0,0
2020-12-06,11:58,0,0,0,10,0,0,0,9,0,0,0,0
2020-12-06,12:01,0,0,8,0,0,0,0,0,0,0,0,0
2020-12-06,12:07,0,9,0,0,0,0,0,0,0,0,0,0
2020-12-06,12:09,0,5,0,0,0,0,0,0,0,0,1,0
2020-12-06,12:10,0,2,0,0,0,0,0,0,0,0,0,0
2020-12-06,12:12,0,0,0,0,0,0,0,1,0,0,0,0
2020-12-06,12:13,0,5,0,0,0,0,0,0,0,0,0,0
2020-12-06,12:18,0,9,0,0,0,0,0,0,0,0,1,0
