date,time,1,2,3,4,5,6,7,8,9,10,11,label
2020-11-13,7:01,1,0,0,0,0,0,4,0,14,0,0,0
2020-11-13,7:02,0,0,0,0,0,0,0,0,0,1,0,0
2020-11-13,7:03,2,0,0,0,0,0,0,0,29,0,0,0
2020-11-13,7:04,0,0,0,0,0,0,0,13,9,0,0,0
2020-11-13,7:05,0,0,0,0,0,20,0,0,0,0,0,0
2020-11-13,7:07,0,0,0,0,0,0,0,0,2,0,0,0
2020-11-13,7:08,0,5,0,0,0,0,0,0,7,0,0,0
2020-11-13,7:09,0,4,0,0,0,0,0,0,0,0,0,0
2020-11-13,7:10,0,0,1,0,0,0,0,0,0,0,0,0
2020-11-13,7:11,0,0,8,0,0,0,0,0,0,0,0,0
2020-11-13,7:14,0,0,4,0,0,1,0,0,0,0,0,0
2020-11-13,7:17,5,0,0,9,0,0,0,0,0,0,0,0
2020-11-13,7:18,0,0,0,0,0,0,0,0,0,9,0,0
2020-11-13,7:20,0,0,0,0,0,0,0,17,0,0,0,0
2020-11-13,7:21,0,0,0,0,0,0,0,9,0,8,0,0
2020-11-13,7:22,0,0,0,0,0,0,0,9,0,0,0,0
2020-11-13,7:24,0,0,0,0,0,1,0,0,0,0,0,0
2020-11-13,7:25,0,0,0,0,0,9,0,0,3,0,0,0
2020-11-13,7:26,0,0,0,0,0,13,0,0,10,0,0,0
2020-11-13,7:27,0,0,1,0,27,9,0,0,6,0,0,0
2020-11-13,7:28,0,0,0,0,8,5,0,0,8,0,0,0
2020-11-13,7:29,1,0,0,0,0,0,0,3,2,0,0,0
2020-11-13,7:30,0,0,0,0,4,0,0,9,0,1,0,0
2020-11-13,7:31,0,4,0,0,9,0,0,0,0,8,0,0
2020-11-13,7:32,0,0,0,0,9,0,0,0,0,0,0,0
2020-11-13,7:33,0,0,0,0,8,0,0,0,0,0,0,0
2020-11-13,7:34,0,0,0,0,10,0,0,0,9,0,0,0
2020-11-13,7:35,0,0,0,0,7,0,0,0,7,0,0,0
2020-11-13,7:36,0,0,0,0,0,0,0,0,12,0,0,0
2020-11-13,7:37,0,0,0,0,0,0,0,1,15,0,0,0
2020-11-13,7:38,0,0,0,0,0,0,0,0,17,3,0,0
2020-11-13,7:39,0,5,0,0,0,0,0,0,15,8,0,0
2020-11-13,7:40,0,0,0,0,0,0,0,0,20,0,0,0
2020-11-13,7:41,0,0,0,0,2,0,0,0,18,0,0,0
2020-11-13,7:43,0,0,0,0,0,0,0,0,3,0,0,0
2020-11-13,7:46,0,0,0,0,0,0,0,0,4,0,0,0
2020-11-13,7:47,0,0,0,0,0,0,0,0,10,0,0,0
2020-11-13,7:48,0,0,0,0,0,0,0,0,3,0,0,0
2020-11-13,7:49,0,0,0,0,0,0,0,0,11,0,0,0
2020-11-13,7:50,0,0,0,0,3,0,0,0,7,0,0,0
2020-11-13,7:51,0,0,0,0,0,0,0,0,5,0,0,0
2020-11-13,7:52,0,0,0,0,0,0,0,0,3,0,0,0
2020-11-13,7:55,0,0,2,0,0,0,0,0,1,0,0,0
2020-11-13,8:00,0,1,0,0,0,0,0,2,0,0,0,0
2020-11-13,8:02,0,0,0,0,0,0,0,1,0,0,0,0
2020-11-13,8:03,0,0,0,0,0,0,0,1,0,0,0,0
2020-11-13,8:05,0,3,0,0,0,1,0,0,0,1,0,0
2020-11-13,8:06,0,0,0,0,0,2,0,0,0,0,0,0
2020-11-13,8:08,0,0,0,0,0,2,0,0,0,0,0,0
2020-11-13,8:12,0,0,1,0,0,0,0,0,0,0,0,0
2020-11-13,8:24,0,2,0,0,0,0,0,0,0,0,0,0
2020-11-13,8:25,0,3,0,0,0,0,0,0,0,0,0,0
2020-11-13,8:27,0,0,0,0,16,0,0,0,0,0,0,0
2020-11-13,8:28,0,0,0,0,11,0,0,8,0,0,0,0
2020-11-13,8:29,0,0,0,0,23,0,0,6,0,0,0,0
2020-11-13,8:30,0,0,0,0,0,0,0,10,0,0,0,0
2020-11-13,8:31,0,0,0,0,0,1,0,11,0,0,0,0
2020-11-13,8:33,0,0,7,0,0,0,0,0,0,0,0,0
2020-11-13,8:41,0,1,0,0,0,0,0,0,0,0,0,0
2020-11-13,8:42,0,1,0,0,0,0,0,0,0,0,0,0
2020-11-13,8:45,0,8,0,0,0,0,0,1,0,1,0,0
2020-11-13,8:47,0,12,0,0,0,0,0,0,0,0,0,0
2020-11-13,8:48,0,3,0,0,0,0,0,0,0,0,0,0
2020-11-13,8:49,0,3,0,0,0,0,0,0,0,7,0,0
2020-11-13,8:51,0,6,0,0,0,0,0,0,0,0,0,0
2020-11-13,8:53,0,2,0,0,0,0,0,0,3,0,0,0
2020-11-13,8:54,0,0,0,0,0,0,1,0,4,0,0,0
2020-11-13,8:56,0,0,0,0,0,0,12,14,3,0,0,0
2020-11-13,8:57,0,0,0,0,0,0,2,0,1,0,0,0
2020-11-13,9:00,0,0,0,24,0,0,0,0,0,0,0,0
2020-11-13,9:10,0,0,0,0,0,0,0,1,0,0,0,0
2020-11-13,9:19,0,0,0,0,0,0,0,2,0,0,0,0
2020-11-13,9:23,0,0,0,0,0,0,0,6,0,0,0,0
2020-11-13,9:24,0,0,0,0,0,0,0,4,0,0,0,0
2020-11-13,9:27,0,0,7,0,0,0,0,9,0,0,0,0
2020-11-13,9:29,0,0,0,0,0,0,0,7,0,0,0,0
2020-11-13,9:31,0,0,0,0,0,0,0,7,0,0,0,0
2020-11-13,9:32,0,0,0,0,0,0,0,10,0,0,0,0
2020-11-13,9:39,0,12,0,0,0,0,0,0,0,0,0,0
2020-11-13,9:40,0,4,0,0,0,0,0,0,0,0,0,0
2020-11-13,9:48,0,0,0,0,0,0,0,1,0,0,0,0
2020-11-13,11:00,0,0,0,0,0,0,0,17,0,0,0,0
2020-11-13,11:03,0,0,0,0,0,0,0,13,0,0,0,0
2020-11-13,11:08,0,0,0,0,6,0,0,7,0,0,0,0
2020-11-13,11:13,0,0,0,0,0,0,0,1,0,0,0,0
2020-11-13,11:19,0,0,0,0,0,0,0,19,0,0,0,0
2020-11-13,11:21,0,0,0,0,0,0,0,13,0,0,0,0
2020-11-13,11:22,0,0,0,0,0,0,0,3,1,0,0,0
2020-11-13,11:23,0,0,0,0,22,0,0,0,1,0,0,0
2020-11-13,11:24,0,0,0,0,0,0,0,0,4,0,0,0
2020-11-13,12:15,0,0,0,0,0,0,0,2,0,0,0,0
2020-11-13,12:16,0,0,0,0,0,0,0,13,0,0,0,0
2020-11-13,12:19,0,0,6,0,0,0,0,0,0,0,0,0
2020-11-13,12:22,0,0,0,0,0,0,0,0,0,7,0,0
2020-11-13,12:23,0,0,0,0,0,0,0,9,0,2,0,0
2020-11-13,12:24,0,0,0,0,0,0,0,18,0,0,0,0
2020-11-13,12:26,0,0,0,0,0,0,0,2,0,0,0,0
2020-11-13,12:30,0,0,4,0,15,1,0,0,0,0,0,0
2020-11-13,12:31,0,0,0,0,12,9,0,0,0,0,0,0
2020-11-13,12:32,0,0,0,0,12,0,0,8,0,0,0,0
2020-11-13,12:33,0,0,0,0,27,0,0,0,0,0,0,0
2020-11-13,12:34,0,0,0,0,10,0,0,0,0,0,0,0
2020-11-13,12:35,0,0,0,0,18,0,0,9,0,0,0,0
2020-11-13,12:37,0,0,0,0,15,0,0,2,0,0,0,0
2020-11-13,12:38,0,0,0,0,8,0,0,0,0,0,0,0
2020-11-13,12:39,0,0,0,0,2,0,0,0,0,0,0,0
2020-11-13,12:40,0,0,0,0,7,0,0,0,0,2,0,0
2020-11-13,12:41,0,0,0,0,23,0,0,4,0,5,0,0
2020-11-13,12:42,0,0,0,8,32,0,0,1,0,0,0,1
2020-11-13,12:43,0,0,0,0,4,0,0,1,0,0,0,0
2020-11-13,12:44,0,0,0,0,10,0,0,22,0,0,0,0
2020-11-13,12:45,0,0,0,0,0,9,0,12,0,0,0,0
2020-11-13,12:47,0,0,9,0,10,0,0,0,0,0,0,0
2020-11-13,12:48,0,0,0,0,16,0,0,0,0,0,0,0
2020-11-13,12:49,0,4,0,0,14,0,0,0,0,7,0,0
2020-11-13,12:50,0,7,0,0,5,0,0,0,0,6,0,0
2020-11-13,12:51,0,1,0,0,2,0,0,0,0,0,0,0
2020-11-13,12:52,0,0,0,0,0,0,0,0,0,4,0,0
2020-11-13,12:53,0,0,0,0,0,0,0,0,0,1,0,0
2020-11-13,12:57,0,7,0,0,0,0,0,0,0,3,0,0
2020-11-13,12:58,0,1,0,0,0,0,0,0,0,0,0,0
2020-11-13,13:06,0,0,0,0,0,0,0,9,0,0,0,0
2020-11-13,13:07,0,0,0,0,0,0,0,5,0,0,0,0
2020-11-13,13:10,0,0,0,0,0,0,0,8,0,0,0,0
2020-11-13,13:12,0,0,0,0,12,0,0,0,0,0,0,0
2020-11-13,13:14,0,0,0,0,9,0,0,0,0,0,0,0
2020-11-13,15:06,0,0,0,0,0,0,0,10,0,0,0,0
2020-11-13,15:07,0,0,0,0,0,0,0,2,0,0,0,0
2020-11-13,15:08,0,0,0,0,0,0,0,0,9,0,0,0
2020-11-13,15:09,0,0,0,0,11,0,0,0,1,0,0,0
2020-11-13,15:10,0,0,0,0,8,0,0,8,8,0,0,0
2020-11-13,15:11,0,0,0,0,0,0,0,1,0,0,0,0
2020-11-13,15:12,0,0,0,0,11,0,0,0,0,0,0,0
2020-11-13,15:13,0,0,0,0,10,0,0,0,0,0,0,0
2020-11-13,15:14,0,0,0,0,2,0,0,0,0,0,0,0
2020-11-13,15:15,0,0,0,0,11,0,0,0,0,0,0,0
2020-11-13,15:18,0,0,0,0,0,0,0,0,2,0,0,0
2020-11-13,15:22,0,0,0,0,0,0,0,0,9,0,0,0
2020-11-13,15:28,0,0,0,0,0,0,0,0,10,0,0,0
2020-11-13,15:29,0,0,0,0,0,0,0,9,10,0,0,0
2020-11-13,15:30,0,0,0,0,8,0,0,8,0,0,0,0
2020-11-13,15:31,0,0,0,0,5,0,0,0,19,0,0,0
2020-11-13,15:32,0,0,0,0,0,0,0,0,10,0,0,0
2020-11-13,15:33,0,0,0,0,0,0,0,0,10,0,0,0
2020-11-13,15:34,0,0,0,0,0,0,0,5,0,0,0,0
2020-11-13,15:35,0,0,0,0,0,0,0,7,0,0,0,0
2020-11-13,15:39,0,0,0,0,0,0,0,0,8,0,0,0
2020-11-13,15:40,0,0,0,0,10,0,0,0,0,0,0,0
2020-11-13,15:41,0,0,0,0,0,0,0,0,5,0,0,0
2020-11-13,15:45,0,0,0,0,0,0,0,0,27,0,0,0
2020-11-13,15:46,0,0,0,0,0,0,0,0,9,0,0,0
2020-11-13,15:47,0,0,0,0,0,0,0,0,5,0,0,0
2020-11-13,15:48,0,0,8,0,0,9,0,0,0,0,0,0
2020-11-13,15:50,0,0,0,0,0,0,0,0,0,9,0,0
2020-11-13,15:52,0,0,1,0,0,13,0,0,0,0,0,0
2020-11-13,15:53,0,0,2,0,0,2,0,0,0,0,0,0
2020-11-13,16:05,0,0,0,0,9,3,0,5,0,0,0,0
2020-11-13,16:06,0,0,0,0,0,12,0,2,0,0,0,0
2020-11-13,16:07,0,0,0,0,0,0,0,17,0,0,0,0
2020-11-13,16:11,0,2,0,0,0,0,0,0,0,0,0,0
2020-11-13,16:12,0,1,0,0,0,0,0,0,8,0,0,0
2020-11-13,16:13,0,4,0,0,0,0,0,3,0,0,0,0
2020-11-13,16:14,0,0,0,0,0,0,0,2,0,0,0,0
2020-11-13,16:17,0,1,1,0,0,0,0,0,0,0,0,0
2020-11-13,16:18,0,0,0,0,0,3,0,0,0,0,0,0
2020-11-13,16:19,0,0,0,0,0,0,0,9,0,0,0,0
2020-11-13,16:20,0,0,0,0,0,0,0,3,0,0,0,0
2020-11-13,16:25,0,0,0,0,0,7,0,0,0,0,0,0
2020-11-13,16:27,0,0,0,0,0,0,0,8,0,0,0,0
2020-11-13,16:32,0,0,0,0,0,0,0,2,0,0,0,0
2020-11-13,16:35,0,0,3,0,0,2,0,0,1,0,0,0
2020-11-13,16:36,0,0,0,0,0,6,0,0,3,0,0,0
2020-11-13,16:39,0,10,0,0,0,2,0,1,0,0,0,0
2020-11-13,16:40,0,2,0,0,2,0,0,0,0,0,0,0
2020-11-13,16:41,0,1,0,0,0,11,0,1,0,0,0,0
2020-11-13,16:42,0,0,0,0,8,0,0,0,0,0,0,0
2020-11-13,16:43,0,0,0,0,0,0,0,0,0,7,0,0
2020-11-13,16:44,0,0,0,0,0,0,0,9,0,0,0,0
2020-11-13,16:45,0,0,0,6,0,1,0,0,0,0,0,0
2020-11-13,16:46,0,0,0,0,4,13,0,0,2,0,0,0
2020-11-13,16:47,0,0,0,0,9,2,0,0,0,0,0,0
2020-11-13,16:48,0,0,0,0,0,0,0,0,18,0,0,0
2020-11-13,16:49,0,0,0,0,13,0,0,0,6,0,0,0
2020-11-13,16:50,0,0,0,0,7,0,0,0,7,0,0,0
2020-11-13,16:54,0,0,0,0,5,0,0,0,5,0,0,0
2020-11-13,16:55,0,0,0,0,8,0,0,0,2,0,0,0
2020-11-13,16:56,0,0,0,0,0,0,0,0,18,0,0,0
2020-11-13,16:57,0,0,0,0,0,0,0,0,6,0,0,0
2020-11-13,16:58,0,0,0,0,0,0,0,0,8,0,0,0
2020-11-13,16:59,0,0,0,0,0,0,0,0,14,0,0,0
2020-11-13,17:00,0,0,0,0,1,0,0,0,6,7,0,0
2020-11-13,17:01,0,0,0,0,0,0,0,0,10,8,0,0
2020-11-13,17:02,0,0,0,0,0,0,0,0,13,0,0,0
2020-11-13,17:11,0,0,0,0,0,0,0,0,4,0,0,0
2020-11-13,17:12,0,3,0,0,1,0,0,3,17,0,0,0
2020-11-13,17:13,0,0,0,0,9,0,0,1,8,0,0,0
2020-11-13,17:16,0,0,0,0,0,0,0,0,9,0,0,0
2020-11-13,17:17,0,0,0,0,0,0,0,9,6,0,0,0
2020-11-13,17:18,0,7,0,0,0,0,3,0,12,0,0,0
2020-11-13,17:19,0,0,0,0,11,0,0,4,4,0,0,0
2020-11-13,17:20,0,3,0,0,0,0,0,0,0,11,0,0
2020-11-13,17:21,0,0,0,0,0,0,0,0,0,4,0,0
2020-11-13,17:23,0,0,0,0,0,0,0,0,0,1,0,0
2020-11-13,17:25,0,0,0,14,0,0,0,0,12,0,0,0
2020-11-13,17:26,0,0,0,0,0,2,0,1,3,0,0,0
2020-11-13,17:27,4,0,0,0,0,0,0,0,10,0,0,0
2020-11-13,17:28,4,0,0,0,0,0,0,0,0,8,0,0
2020-11-13,17:29,0,0,3,0,0,0,0,0,0,0,0,0
2020-11-13,17:32,0,1,0,0,0,0,0,0,0,0,0,0
2020-11-13,17:37,0,0,0,0,0,0,0,4,0,0,0,0
2020-11-13,17:39,0,0,0,0,0,0,0,4,0,0,0,0
2020-11-13,17:40,0,0,0,0,0,3,0,21,0,0,0,0
2020-11-13,17:41,0,0,0,0,0,0,0,7,0,0,0,0
2020-11-13,17:42,0,0,0,0,0,8,0,0,0,0,0,0
2020-11-13,19:52,0,0,0,0,0,0,0,0,11,0,0,0
2020-11-13,19:59,0,0,0,0,0,0,0,1,0,0,0,0
2020-11-13,20:04,0,0,0,0,0,0,0,2,0,0,0,0
2020-11-13,20:32,0,0,0,0,0,1,0,0,0,0,0,0
2020-11-13,20:56,0,1,0,0,0,0,0,0,0,0,0,0
2020-11-13,20:57,0,1,0,0,0,0,0,0,10,0,0,0
2020-11-13,20:59,0,0,0,0,0,0,0,5,0,0,0,0
2020-11-13,21:00,0,0,0,0,0,0,0,2,0,0,0,0
2020-11-13,21:01,0,0,0,0,0,1,0,0,0,0,0,0
2020-11-13,21:02,0,0,0,4,0,0,0,0,0,0,0,0
