date,time,1,2,3,4,5,6,7,8,9,10,11,label
2020-11-23,7:03,0,0,0,0,0,0,0,4,0,0,0,0
2020-11-23,7:05,0,0,0,0,0,13,0,0,7,0,0,0
2020-11-23,7:06,0,0,29,0,0,0,0,0,1,0,0,0
2020-11-23,7:07,0,0,2,0,0,0,0,0,3,0,0,0
2020-11-23,7:08,0,0,0,0,0,0,0,0,3,0,0,0
2020-11-23,7:09,0,0,0,0,0,0,0,2,0,0,0,0
2020-11-23,7:10,0,0,9,0,0,0,0,0,0,0,0,0
2020-11-23,7:11,0,0,0,0,0,0,0,0,4,0,0,0
2020-11-23,7:13,0,0,0,0,0,0,0,0,2,0,0,0
2020-11-23,7:14,0,0,0,0,0,2,0,0,3,0,0,0
2020-11-23,7:15,0,0,0,0,0,1,0,9,0,0,0,0
2020-11-23,7:16,0,0,11,0,0,0,0,0,0,1,0,0
2020-11-23,7:22,0,0,0,0,0,0,0,0,6,0,0,0
2020-11-23,7:23,0,0,0,0,0,0,0,0,2,0,0,0
2020-11-23,7:24,0,0,0,0,1,0,0,0,0,0,0,0
2020-11-23,7:25,0,0,0,0,0,13,0,0,1,0,0,0
2020-11-23,7:26,0,0,0,0,0,29,0,0,1,0,0,0
2020-11-23,7:27,0,0,0,0,0,4,0,0,23,0,0,0
2020-11-23,7:29,0,0,0,0,8,8,0,3,12,0,0,0
2020-11-23,7:30,0,0,0,0,2,0,0,0,23,0,0,0
2020-11-23,7:31,0,0,0,0,0,0,0,10,3,0,0,0
2020-11-23,7:32,0,0,0,0,0,0,0,2,0,0,0,0
2020-11-23,7:34,0,9,0,0,8,0,0,0,8,0,0,0
2020-11-23,11:11,0,0,10,0,0,0,0,0,0,0,0,0
2020-11-23,11:12,0,0,2,0,0,0,0,0,0,0,0,0
2020-11-23,11:13,0,0,2,0,0,0,0,0,5,0,0,0
2020-11-23,11:14,0,0,0,0,0,0,0,0,1,0,0,0
2020-11-23,11:15,0,0,1,0,0,0,0,5,0,0,0,0
2020-11-23,11:17,0,0,0,0,0,0,0,5,0,0,0,0
2020-11-23,11:18,0,0,0,0,0,0,0,0,4,0,0,0
2020-11-23,11:21,0,0,0,0,0,0,0,0,1,0,0,0
2020-11-23,11:24,0,2,0,0,0,0,0,0,0,0,0,0
2020-11-23,11:25,0,0,0,0,4,0,0,0,8,0,0,0
2020-11-23,11:26,0,3,0,0,2,0,0,0,12,0,0,0
2020-11-23,11:27,0,0,0,0,9,0,0,0,31,0,0,1
2020-11-23,11:28,0,0,0,0,3,0,0,0,10,0,0,0
2020-11-23,11:29,0,4,0,0,10,0,0,0,15,0,0,0
2020-11-23,11:30,0,1,0,0,13,0,0,0,9,0,0,0
2020-11-23,11:31,0,0,0,0,8,0,0,0,9,0,0,0
2020-11-23,11:32,0,6,0,0,9,0,0,13,0,0,0,0
2020-11-23,11:33,0,0,10,0,0,0,0,0,6,0,0,0
2020-11-23,11:34,0,0,0,0,0,0,0,0,1,0,0,0
2020-11-23,11:44,0,0,0,0,0,0,0,0,0,1,0,0
2020-11-23,11:46,0,0,0,0,0,0,0,2,0,0,0,0
2020-11-23,11:47,0,3,0,0,0,0,0,0,0,0,0,0
2020-11-23,11:51,0,0,0,0,0,0,0,11,0,0,0,0
2020-11-23,11:53,0,0,0,0,0,0,0,0,0,8,0,0
2020-11-23,11:55,0,0,2,0,0,0,0,4,0,0,0,0
2020-11-23,11:56,0,0,0,0,0,0,0,9,0,0,2,0
2020-11-23,12:00,0,0,0,0,0,0,0,1,0,0,0,0
2020-11-23,12:07,0,0,0,0,0,1,0,0,0,0,0,0
2020-11-23,12:09,0,10,0,0,0,0,0,0,0,0,0,0
2020-11-23,12:10,0,0,0,0,9,0,0,0,0,0,0,0
2020-11-23,12:12,0,5,0,0,0,0,0,0,0,0,0,0
2020-11-23,12:13,0,1,0,0,0,0,0,0,0,0,0,0
2020-11-23,12:15,0,0,0,0,0,0,0,4,0,0,0,0
2020-11-23,12:16,0,0,3,0,0,0,0,0,0,0,0,0
2020-11-23,12:22,0,0,1,0,0,0,0,3,0,0,0,0
2020-11-23,12:24,0,0,16,0,0,0,0,8,0,0,0,0
2020-11-23,12:25,0,0,6,0,0,0,0,0,0,0,0,0
2020-11-23,12:28,0,0,0,0,0,0,0,8,0,0,0,0
