date,time,1,2,3,4,5,6,7,8,9,10,11,label
2020-12-19,7:23,0,0,0,0,0,0,0,10,0,0,0,0
2020-12-19,7:24,0,0,0,0,17,0,0,0,11,0,0,0
2020-12-19,7:25,0,0,3,0,0,0,0,0,30,0,0,1
2020-12-19,7:26,0,0,0,0,0,0,0,0,28,0,0,0
2020-12-19,7:27,0,0,0,0,8,0,0,0,9,0,0,0
2020-12-19,7:28,0,0,0,0,0,0,0,13,0,0,0,0
2020-12-19,7:29,0,0,0,0,1,0,0,5,0,0,0,0
2020-12-19,7:30,0,0,0,0,0,0,0,0,9,0,0,0
2020-12-19,7:31,0,5,0,0,0,0,0,0,0,0,0,0
2020-12-19,7:32,0,0,1,0,7,0,0,2,0,0,0,0
2020-12-19,7:34,0,0,0,0,5,0,0,0,2,0,0,0
2020-12-19,7:35,0,1,0,0,0,0,0,0,1,0,0,0
2020-12-19,7:38,0,2,0,0,0,0,0,0,3,0,0,0
2020-12-19,7:39,0,2,4,0,7,0,0,0,12,0,0,0
2020-12-19,7:40,0,0,0,0,1,0,0,0,13,0,0,0
2020-12-19,7:41,0,8,0,0,0,0,0,0,14,1,0,0
2020-12-19,7:42,0,1,0,0,0,0,0,1,0,0,0,0
2020-12-19,7:43,0,0,0,0,0,0,0,0,12,0,0,0
2020-12-19,7:44,0,0,0,0,0,0,0,0,1,0,0,0
2020-12-19,7:45,0,0,0,0,9,0,0,0,24,0,0,0
2020-12-19,7:46,0,0,2,0,2,0,0,0,17,0,0,0
2020-12-19,7:47,0,0,2,0,2,0,0,0,3,0,0,0
2020-12-19,7:48,0,4,0,0,2,0,0,0,21,0,0,0
2020-12-19,7:49,0,0,0,0,1,0,0,0,2,0,0,0
2020-12-19,7:52,0,0,0,0,0,0,0,4,0,0,0,0
2020-12-19,7:53,0,0,0,1,0,0,0,0,1,0,0,0
2020-12-19,7:59,0,0,0,0,0,0,0,0,2,0,0,0
2020-12-19,8:02,0,0,0,1,0,0,0,0,0,0,0,0
2020-12-19,8:06,0,0,0,0,0,0,0,1,0,0,0,0
2020-12-19,8:10,0,0,0,0,1,0,0,0,0,0,0,0
2020-12-19,8:11,0,1,0,0,8,0,0,0,0,0,0,0
2020-12-19,8:14,0,16,0,0,0,0,0,0,0,0,0,0
2020-12-19,8:23,0,0,0,0,0,0,0,1,0,0,0,0
2020-12-19,8:25,0,0,0,0,0,0,0,24,0,0,0,0
2020-12-19,8:26,0,0,0,0,0,0,0,25,0,0,0,0
2020-12-19,8:28,0,4,0,0,0,0,0,0,0,0,0,0
2020-12-19,8:29,0,8,0,0,0,0,0,0,0,0,3,0
2020-12-19,8:30,0,2,0,0,0,0,0,0,0,0,0,0
2020-12-19,8:31,0,7,0,0,0,0,0,0,0,0,0,0
2020-12-19,8:32,0,9,0,0,0,0,0,0,0,0,1,0
2020-12-19,8:33,0,0,0,0,0,0,0,8,0,1,0,0
2020-12-19,8:34,0,2,0,0,0,0,0,0,0,0,0,0
2020-12-19,8:38,0,1,0,0,0,0,0,0,0,0,0,0
2020-12-19,8:43,0,0,0,0,0,0,0,5,0,0,0,0
2020-12-19,8:47,0,0,0,0,0,0,0,1,0,0,0,0
2020-12-19,8:53,0,0,0,0,0,0,0,0,0,0,2,0
2020-12-19,8:54,0,0,0,0,0,0,0,0,0,0,1,0
2020-12-19,8:56,0,0,0,0,0,0,0,0,15,0,0,0
2020-12-19,9:07,0,4,0,0,0,0,0,0,0,0,0,0
2020-12-19,9:20,0,0,0,0,0,0,0,0,1,0,0,0
2020-12-19,9:22,0,0,0,1,0,0,0,0,0,0,0,0
2020-12-19,9:59,0,0,0,1,0,0,0,0,0,0,0,0
2020-12-19,10:08,0,0,0,3,0,0,0,0,0,0,0,0
2020-12-19,10:20,0,0,2,0,0,0,0,0,8,0,0,0
2020-12-19,10:21,0,0,0,0,0,0,0,0,1,0,0,0
2020-12-19,10:26,0,0,0,1,0,0,0,0,0,0,0,0
2020-12-19,11:16,0,0,8,0,0,0,0,0,0,0,0,0
2020-12-19,11:17,0,0,0,0,0,0,0,5,0,0,0,0
2020-12-19,11:21,0,0,8,0,0,0,0,0,0,0,0,0
2020-12-19,11:22,0,0,0,0,0,0,0,2,0,0,0,0
2020-12-19,11:25,0,0,0,0,0,0,0,2,0,0,0,0
2020-12-19,11:26,0,0,0,0,0,0,0,12,0,0,0,0
2020-12-19,11:27,0,0,0,0,7,0,0,0,7,0,0,0
2020-12-19,11:28,0,0,0,0,0,0,0,0,5,0,0,0
2020-12-19,11:29,0,0,0,0,0,0,0,0,1,0,0,0
2020-12-19,11:30,0,0,0,0,1,0,0,0,0,0,0,0
2020-12-19,11:31,0,0,0,0,17,0,0,0,11,0,0,0
2020-12-19,11:32,0,9,0,0,0,0,0,0,0,0,0,0
2020-12-19,11:34,0,0,0,0,0,0,0,0,8,0,0,0
2020-12-19,11:35,0,1,0,0,0,0,0,0,22,0,0,0
2020-12-19,11:36,0,0,0,0,0,0,0,0,8,1,0,0
2020-12-19,11:37,0,0,0,0,2,0,0,0,10,0,0,0
2020-12-19,11:38,0,9,0,0,0,0,0,0,5,0,0,0
2020-12-19,11:39,0,0,0,0,0,0,0,0,10,0,0,0
2020-12-19,11:40,0,0,1,0,0,0,0,0,12,0,0,0
2020-12-19,11:41,0,0,0,0,0,0,0,4,5,0,0,0
2020-12-19,11:42,0,2,0,0,0,0,0,0,2,0,0,0
2020-12-19,11:43,0,0,0,0,0,0,0,0,1,0,0,0
2020-12-19,11:44,0,0,0,0,0,0,0,0,1,0,0,0
2020-12-19,11:45,0,0,0,0,0,0,0,0,4,0,0,0
2020-12-19,11:47,0,0,0,0,2,0,0,0,4,1,0,0
2020-12-19,11:48,0,0,0,0,4,0,0,0,0,0,0,0
2020-12-19,11:49,0,0,0,0,6,0,0,0,0,0,0,0
2020-12-19,11:51,0,1,0,0,0,0,0,1,0,0,0,0
2020-12-19,11:59,0,2,0,0,0,0,0,0,0,0,8,0
2020-12-19,12:02,0,2,0,0,0,0,0,0,0,0,0,0
2020-12-19,12:06,0,0,0,0,0,0,0,3,0,0,0,0
2020-12-19,12:07,0,0,0,0,0,0,0,6,0,0,0,0
2020-12-19,12:08,0,0,0,0,0,0,0,17,0,0,0,0
2020-12-19,12:18,0,0,0,0,0,0,0,8,0,0,0,0
2020-12-19,12:20,0,0,0,0,0,0,0,8,0,0,0,0
2020-12-19,12:21,0,0,0,0,0,0,0,5,0,1,0,0
2020-12-19,12:22,0,0,0,0,0,0,0,17,0,0,0,0
2020-12-19,12:23,0,0,0,0,0,0,0,11,0,0,0,0
2020-12-19,12:24,0,6,0,0,0,0,0,22,0,0,0,0
2020-12-19,12:28,0,0,0,0,6,0,0,0,0,0,0,0
2020-12-19,12:29,8,0,0,0,0,0,0,0,0,0,0,0
2020-12-19,12:32,0,1,0,0,0,0,0,0,0,0,0,0
2020-12-19,12:33,0,2,0,0,0,0,0,0,0,0,1,0
2020-12-19,12:34,0,1,0,0,0,0,0,0,0,0,0,0
2020-12-19,12:36,0,0,0,0,0,0,0,8,0,0,0,0
2020-12-19,12:37,0,0,0,0,0,0,0,9,0,0,0,0
2020-12-19,12:42,0,0,0,0,0,0,0,1,0,0,0,0
2020-12-19,12:43,0,0,0,0,0,0,0,2,0,0,0,0
2020-12-19,12:44,0,0,0,0,0,0,0,5,0,0,0,0
2020-12-19,12:52,0,0,0,0,0,0,0,7,0,0,0,0
2020-12-19,12:57,0,0,7,0,0,0,0,0,0,0,0,0
2020-12-19,13:24,0,0,0,0,0,0,0,8,0,0,0,0
