date,time,1,2,3,4,5,6,7,8,9,10,11,label
2020-12-18,7:05,0,0,0,0,0,0,0,5,0,0,0,0
2020-12-18,7:06,0,0,0,0,0,0,0,4,0,0,0,0
2020-12-18,7:09,0,0,0,0,0,0,0,3,0,0,0,0
2020-12-18,7:10,0,0,0,2,0,0,0,9,0,0,0,0
2020-12-18,7:11,0,0,0,9,0,0,0,0,0,0,0,0
2020-12-18,7:12,0,12,0,0,0,0,0,0,0,0,2,0
2020-12-18,7:19,0,0,2,0,0,0,0,10,0,0,0,0
2020-12-18,7:21,0,0,0,0,0,0,0,3,0,4,0,0
2020-12-18,7:22,0,10,0,0,0,0,0,7,0,0,4,0
2020-12-18,7:23,0,0,0,0,0,0,0,10,0,0,0,0
2020-12-18,7:24,0,0,0,0,0,0,0,9,0,0,0,0
2020-12-18,7:25,0,0,0,0,0,0,0,6,0,0,0,0
2020-12-18,7:26,0,0,0,0,0,0,0,12,0,0,0,0
2020-12-18,7:27,0,0,0,0,0,0,0,17,0,0,3,0
2020-12-18,7:28,0,0,0,0,0,0,0,2,0,0,5,0
2020-12-18,7:34,0,4,0,0,0,0,0,0,13,4,9,0
2020-12-18,7:35,0,1,0,0,0,0,0,0,23,0,2,0
2020-12-18,7:36,0,6,0,0,0,0,0,0,25,2,2,0
2020-12-18,7:37,0,8,0,0,0,0,0,0,24,12,0,0
2020-12-18,7:38,0,0,0,0,0,0,0,0,21,0,0,0
2020-12-18,7:39,0,0,0,4,0,0,0,0,17,0,0,0
2020-12-18,7:40,0,0,0,1,1,0,0,0,34,0,0,1
2020-12-18,7:41,0,0,0,0,12,0,0,4,0,4,0,0
2020-12-18,7:42,0,0,0,0,0,0,0,0,12,5,0,0
2020-12-18,7:43,0,0,0,0,0,0,0,0,18,0,0,0
2020-12-18,7:54,0,0,0,0,1,0,0,0,0,4,0,0
2020-12-18,7:55,0,0,0,0,7,0,0,2,0,0,6,0
2020-12-18,7:58,0,6,0,0,0,0,0,4,0,0,2,0
2020-12-18,7:59,0,0,0,0,0,0,0,0,0,6,1,0
2020-12-18,8:00,0,0,2,0,0,0,0,0,0,4,12,0
2020-12-18,8:01,0,6,0,0,0,0,0,0,0,0,7,0
2020-12-18,8:02,0,0,0,0,0,0,0,0,0,1,0,0
2020-12-18,8:03,0,0,0,0,0,0,0,4,0,0,0,0
2020-12-18,8:07,0,0,0,0,0,0,0,2,0,1,0,0
2020-12-18,8:08,0,15,0,0,0,0,0,0,0,1,0,0
2020-12-18,8:09,0,10,4,0,0,0,0,0,0,0,0,0
2020-12-18,8:10,0,14,0,0,0,0,0,0,0,0,0,0
2020-12-18,8:11,0,1,0,0,0,0,0,1,0,0,10,0
2020-12-18,8:12,0,9,0,0,0,0,0,16,0,0,2,0
2020-12-18,8:13,0,6,0,0,0,0,0,0,0,0,0,0
2020-12-18,8:14,0,7,0,0,0,0,0,0,0,1,0,0
2020-12-18,8:15,0,6,0,0,0,0,0,4,0,7,0,0
2020-12-18,8:16,0,1,0,0,0,0,0,0,0,0,1,0
2020-12-18,8:17,0,5,7,0,0,0,0,5,0,0,0,0
2020-12-18,8:19,0,1,0,0,0,0,0,0,0,0,0,0
2020-12-18,8:20,0,3,0,0,0,0,0,7,0,0,0,0
2020-12-18,8:21,0,9,0,0,0,0,0,7,0,0,0,0
2020-12-18,8:22,0,0,0,0,0,0,0,0,0,0,3,0
2020-12-18,8:24,0,0,14,0,0,0,0,0,0,0,1,0
2020-12-18,8:26,0,0,0,3,0,0,0,12,0,0,10,0
2020-12-18,8:27,0,5,0,0,0,0,0,14,0,0,0,0
2020-12-18,8:28,0,0,0,0,0,0,0,11,0,0,0,0
2020-12-18,8:31,0,0,0,0,0,0,0,1,0,0,0,0
2020-12-18,8:34,0,0,0,0,0,0,0,8,0,0,0,0
2020-12-18,8:35,0,0,0,0,0,0,0,1,0,0,0,0
2020-12-18,8:36,0,0,0,0,0,0,0,2,0,0,2,0
2020-12-18,8:49,0,0,0,0,0,0,0,10,0,0,0,0
2020-12-18,9:00,0,0,0,0,0,0,0,0,0,0,1,0
2020-12-18,9:47,0,0,0,0,0,0,0,1,0,0,0,0
2020-12-18,9:52,0,2,0,0,0,0,0,0,0,0,5,0
2020-12-18,9:53,0,5,0,0,0,0,0,0,0,1,0,0
2020-12-18,9:54,0,7,0,0,0,0,0,0,0,0,2,0
2020-12-18,9:56,0,2,0,0,0,0,0,0,0,0,4,0
2020-12-18,9:59,0,0,0,7,9,0,0,0,0,0,0,0
2020-12-18,10:00,0,0,0,1,0,0,0,0,0,0,0,0
2020-12-18,10:02,0,0,0,0,8,0,0,6,0,0,0,0
2020-12-18,10:03,0,1,0,0,0,0,0,1,0,0,0,0
2020-12-18,10:04,0,12,0,0,0,0,0,0,0,0,0,0
2020-12-18,10:06,0,0,0,0,0,0,0,0,0,0,11,0
2020-12-18,11:00,0,0,0,0,30,0,0,0,0,0,0,1
2020-12-18,11:01,0,0,0,0,40,0,0,10,0,0,0,1
